Data table for: E:\YR 4 LVAY DATA\GT3X+\Hip\1065_V1R3XP_41sec.agd
Date, Time, Axis1,Axis2,Axis3,Inclinometer,Vector Magnitude
5/2/2011,15:55:03,0,0,0,1,0
5/2/2011,15:55:04,0,0,0,1,0
5/2/2011,15:55:05,0,0,0,1,0
5/2/2011,15:55:06,0,0,1,1,1
5/2/2011,15:55:07,0,0,8,1,8
5/2/2011,15:55:08,0,0,0,1,0
5/2/2011,15:55:09,0,0,0,1,0
5/2/2011,15:55:10,0,1,0,1,1
5/2/2011,15:55:11,0,7,36,3,36.67
5/2/2011,15:55:12,0,4,30,3,30.27
5/2/2011,15:55:13,0,5,36,1,36.35
5/2/2011,15:55:14,0,0,0,1,0
5/2/2011,15:55:15,0,0,0,1,0
5/2/2011,15:55:16,0,0,0,1,0
5/2/2011,15:55:17,0,0,0,1,0
5/2/2011,15:55:18,0,0,0,1,0
5/2/2011,15:55:19,0,0,0,1,0
5/2/2011,15:55:20,0,0,0,1,0
5/2/2011,15:55:21,0,0,0,1,0
5/2/2011,15:55:22,0,0,0,1,0
5/2/2011,15:55:23,0,0,0,1,0
5/2/2011,15:55:24,0,0,0,1,0
5/2/2011,15:55:25,0,0,0,1,0
5/2/2011,15:55:26,0,0,0,1,0
5/2/2011,15:55:27,0,0,0,1,0
5/2/2011,15:55:28,0,0,0,1,0
5/2/2011,15:55:29,0,0,0,1,0
5/2/2011,15:55:30,0,0,0,1,0
5/2/2011,15:55:31,0,0,0,1,0
5/2/2011,15:55:32,0,0,0,1,0
5/2/2011,15:55:33,0,0,0,1,0
5/2/2011,15:55:34,0,0,0,1,0
5/2/2011,15:55:35,0,0,0,1,0
5/2/2011,15:55:36,0,0,0,1,0
5/2/2011,15:55:37,0,0,0,1,0
5/2/2011,15:55:38,0,0,0,1,0
5/2/2011,15:55:39,0,0,0,1,0
5/2/2011,15:55:40,0,0,0,1,0
5/2/2011,15:55:41,0,0,0,1,0
5/2/2011,15:55:42,0,0,0,1,0
5/2/2011,15:55:43,0,0,0,1,0
5/2/2011,15:55:44,0,0,0,1,0
5/2/2011,15:55:45,0,0,0,1,0
5/2/2011,15:55:46,0,0,0,1,0
5/2/2011,15:55:47,0,0,0,1,0
5/2/2011,15:55:48,0,0,0,1,0
5/2/2011,15:55:49,0,0,0,1,0
5/2/2011,15:55:50,0,0,0,1,0
5/2/2011,15:55:51,0,0,0,1,0
5/2/2011,15:55:52,0,0,0,1,0
5/2/2011,15:55:53,0,0,0,1,0
5/2/2011,15:55:54,0,0,0,1,0
5/2/2011,15:55:55,0,0,0,1,0
5/2/2011,15:55:56,0,0,0,1,0
5/2/2011,15:55:57,0,0,0,1,0
5/2/2011,15:55:58,0,0,0,1,0
5/2/2011,15:55:59,0,0,0,1,0
5/2/2011,15:56:00,0,0,0,1,0
5/2/2011,15:56:01,0,0,0,1,0
5/2/2011,15:56:02,0,0,0,1,0
5/2/2011,15:56:03,0,0,0,1,0
5/2/2011,15:56:04,0,0,0,1,0
5/2/2011,15:56:05,0,0,0,1,0
5/2/2011,15:56:06,0,0,0,1,0
5/2/2011,15:56:07,0,0,0,1,0
5/2/2011,15:56:08,0,0,0,1,0
5/2/2011,15:56:09,0,0,0,1,0
5/2/2011,15:56:10,0,11,10,1,14.87
5/2/2011,15:56:11,5,9,50,1,51.05
5/2/2011,15:56:12,4,8,30,1,31.3
5/2/2011,15:56:13,15,13,4,1,20.25
5/2/2011,15:56:14,8,29,53,1,60.94
5/2/2011,15:56:15,102,33,119,1,160.17
5/2/2011,15:56:16,33,61,63,1,93.7
5/2/2011,15:56:17,50,26,86,1,102.82
5/2/2011,15:56:18,24,37,16,1,46.91
5/2/2011,15:56:19,35,30,14,1,48.18
5/2/2011,15:56:20,35,8,11,1,37.55
5/2/2011,15:56:21,14,8,0,1,16.12
5/2/2011,15:56:22,0,0,0,2,0
5/2/2011,15:56:23,0,0,0,2,0
5/2/2011,15:56:24,0,0,0,2,0
5/2/2011,15:56:25,0,0,0,2,0
5/2/2011,15:56:26,0,0,0,2,0
5/2/2011,15:56:27,0,0,0,2,0
5/2/2011,15:56:28,0,0,0,2,0
5/2/2011,15:56:29,0,0,0,2,0
5/2/2011,15:56:30,0,0,0,2,0
5/2/2011,15:56:31,0,0,0,2,0
5/2/2011,15:56:32,0,0,0,2,0
5/2/2011,15:56:33,0,0,0,2,0
5/2/2011,15:56:34,0,0,0,2,0
5/2/2011,15:56:35,0,0,0,2,0
5/2/2011,15:56:36,0,0,0,2,0
5/2/2011,15:56:37,0,0,0,2,0
5/2/2011,15:56:38,0,0,0,2,0
5/2/2011,15:56:39,0,0,0,2,0
5/2/2011,15:56:40,0,0,0,2,0
5/2/2011,15:56:41,0,0,0,2,0
5/2/2011,15:56:42,0,0,0,2,0
5/2/2011,15:56:43,0,0,0,2,0
5/2/2011,15:56:44,0,0,0,2,0
5/2/2011,15:56:45,0,0,0,2,0
5/2/2011,15:56:46,0,0,0,2,0
5/2/2011,15:56:47,0,0,0,2,0
5/2/2011,15:56:48,0,0,0,2,0
5/2/2011,15:56:49,0,0,0,2,0
5/2/2011,15:56:50,0,0,0,2,0
5/2/2011,15:56:51,0,0,0,2,0
5/2/2011,15:56:52,0,0,0,2,0
5/2/2011,15:56:53,0,0,0,2,0
5/2/2011,15:56:54,0,0,0,2,0
5/2/2011,15:56:55,0,0,0,2,0
5/2/2011,15:56:56,0,0,0,2,0
5/2/2011,15:56:57,0,0,0,2,0
5/2/2011,15:56:58,0,0,0,2,0
5/2/2011,15:56:59,0,0,0,2,0
5/2/2011,15:57:00,0,0,0,2,0
5/2/2011,15:57:01,0,0,0,2,0
5/2/2011,15:57:02,0,0,0,2,0
5/2/2011,15:57:03,0,0,0,2,0
5/2/2011,15:57:04,0,0,0,2,0
5/2/2011,15:57:05,0,0,0,2,0
5/2/2011,15:57:06,0,0,0,2,0
5/2/2011,15:57:07,0,0,0,2,0
5/2/2011,15:57:08,0,0,0,2,0
5/2/2011,15:57:09,0,0,0,2,0
5/2/2011,15:57:10,0,0,0,2,0
5/2/2011,15:57:11,0,0,0,2,0
5/2/2011,15:57:12,0,0,0,2,0
5/2/2011,15:57:13,0,0,0,2,0
5/2/2011,15:57:14,0,0,0,2,0
5/2/2011,15:57:15,0,0,0,2,0
5/2/2011,15:57:16,0,0,0,2,0
5/2/2011,15:57:17,0,0,0,2,0
5/2/2011,15:57:18,0,0,0,2,0
5/2/2011,15:57:19,0,0,0,2,0
5/2/2011,15:57:20,0,0,0,2,0
5/2/2011,15:57:21,0,0,0,2,0
5/2/2011,15:57:22,0,0,0,2,0
5/2/2011,15:57:23,0,0,0,2,0
5/2/2011,15:57:24,0,0,0,2,0
5/2/2011,15:57:25,0,0,0,2,0
5/2/2011,15:57:26,0,0,0,2,0
5/2/2011,15:57:27,0,0,0,2,0
5/2/2011,15:57:28,0,0,0,2,0
5/2/2011,15:57:29,0,0,0,2,0
5/2/2011,15:57:30,0,0,0,2,0
5/2/2011,15:57:31,0,0,0,2,0
5/2/2011,15:57:32,0,0,0,2,0
5/2/2011,15:57:33,0,0,0,2,0
5/2/2011,15:57:34,0,0,0,2,0
5/2/2011,15:57:35,0,0,0,2,0
5/2/2011,15:57:36,0,0,0,2,0
5/2/2011,15:57:37,0,0,0,2,0
5/2/2011,15:57:38,0,0,0,2,0
5/2/2011,15:57:39,0,0,0,2,0
5/2/2011,15:57:40,0,0,0,2,0
5/2/2011,15:57:41,0,0,0,2,0
5/2/2011,15:57:42,0,0,0,2,0
5/2/2011,15:57:43,0,0,0,2,0
5/2/2011,15:57:44,0,0,0,2,0
5/2/2011,15:57:45,0,0,0,2,0
5/2/2011,15:57:46,0,0,0,2,0
5/2/2011,15:57:47,0,0,0,2,0
5/2/2011,15:57:48,0,0,0,2,0
5/2/2011,15:57:49,0,0,0,2,0
5/2/2011,15:57:50,0,0,0,2,0
5/2/2011,15:57:51,0,0,0,2,0
5/2/2011,15:57:52,0,0,0,2,0
5/2/2011,15:57:53,0,0,0,2,0
5/2/2011,15:57:54,0,0,0,2,0
5/2/2011,15:57:55,0,0,0,2,0
5/2/2011,15:57:56,0,0,0,2,0
5/2/2011,15:57:57,0,0,0,2,0
5/2/2011,15:57:58,0,0,0,2,0
5/2/2011,15:57:59,0,0,0,2,0
5/2/2011,15:58:00,0,0,0,2,0
5/2/2011,15:58:01,0,0,0,2,0
5/2/2011,15:58:02,0,0,0,2,0
5/2/2011,15:58:03,0,0,0,2,0
5/2/2011,15:58:04,0,0,0,2,0
5/2/2011,15:58:05,0,0,0,2,0
5/2/2011,15:58:06,0,0,0,2,0
5/2/2011,15:58:07,0,0,0,2,0
5/2/2011,15:58:08,0,0,0,2,0
5/2/2011,15:58:09,0,0,0,2,0
5/2/2011,15:58:10,0,0,0,2,0
5/2/2011,15:58:11,0,0,0,2,0
5/2/2011,15:58:12,0,0,0,2,0
5/2/2011,15:58:13,0,0,0,2,0
5/2/2011,15:58:14,0,0,0,2,0
5/2/2011,15:58:15,0,0,0,2,0
5/2/2011,15:58:16,0,0,0,2,0
5/2/2011,15:58:17,0,0,0,2,0
5/2/2011,15:58:18,0,0,0,2,0
5/2/2011,15:58:19,0,0,0,2,0
5/2/2011,15:58:20,0,0,0,2,0
5/2/2011,15:58:21,0,0,0,2,0
5/2/2011,15:58:22,0,0,0,2,0
5/2/2011,15:58:23,0,0,0,2,0
5/2/2011,15:58:24,0,0,0,2,0
5/2/2011,15:58:25,0,0,0,2,0
5/2/2011,15:58:26,0,0,0,2,0
5/2/2011,15:58:27,0,0,0,2,0
5/2/2011,15:58:28,0,0,0,2,0
5/2/2011,15:58:29,0,0,0,2,0
5/2/2011,15:58:30,0,0,0,2,0
5/2/2011,15:58:31,0,0,0,2,0
5/2/2011,15:58:32,0,0,0,2,0
5/2/2011,15:58:33,0,0,0,2,0
5/2/2011,15:58:34,0,0,0,2,0
5/2/2011,15:58:35,0,0,0,2,0
5/2/2011,15:58:36,0,0,0,2,0
5/2/2011,15:58:37,0,0,0,2,0
5/2/2011,15:58:38,0,0,0,2,0
5/2/2011,15:58:39,0,0,0,2,0
5/2/2011,15:58:40,0,0,0,2,0
5/2/2011,15:58:41,0,0,0,2,0
5/2/2011,15:58:42,0,0,0,2,0
5/2/2011,15:58:43,0,0,0,2,0
5/2/2011,15:58:44,0,0,0,2,0
5/2/2011,15:58:45,0,0,0,2,0
5/2/2011,15:58:46,0,0,0,2,0
5/2/2011,15:58:47,0,0,0,2,0
5/2/2011,15:58:48,0,0,0,2,0
5/2/2011,15:58:49,0,0,0,2,0
5/2/2011,15:58:50,0,0,0,2,0
5/2/2011,15:58:51,0,0,0,2,0
5/2/2011,15:58:52,0,0,0,2,0
5/2/2011,15:58:53,0,0,0,2,0
5/2/2011,15:58:54,0,0,0,2,0
5/2/2011,15:58:55,0,0,0,2,0
5/2/2011,15:58:56,0,0,0,2,0
5/2/2011,15:58:57,0,0,0,2,0
5/2/2011,15:58:58,0,0,0,2,0
5/2/2011,15:58:59,0,0,0,2,0
5/2/2011,15:59:00,0,0,0,2,0
5/2/2011,15:59:01,0,0,0,2,0
5/2/2011,15:59:02,0,0,0,2,0
5/2/2011,15:59:03,0,0,0,2,0
5/2/2011,15:59:04,0,0,0,2,0
5/2/2011,15:59:05,0,0,0,2,0
5/2/2011,15:59:06,0,0,0,2,0
5/2/2011,15:59:07,0,0,0,2,0
5/2/2011,15:59:08,0,0,0,2,0
5/2/2011,15:59:09,0,0,0,2,0
5/2/2011,15:59:10,0,0,0,2,0
5/2/2011,15:59:11,0,0,0,2,0
5/2/2011,15:59:12,0,0,0,2,0
5/2/2011,15:59:13,0,0,0,2,0
5/2/2011,15:59:14,0,0,0,2,0
5/2/2011,15:59:15,0,0,0,2,0
5/2/2011,15:59:16,0,0,0,2,0
5/2/2011,15:59:17,0,0,0,2,0
5/2/2011,15:59:18,0,0,0,2,0
5/2/2011,15:59:19,0,0,0,2,0
5/2/2011,15:59:20,0,0,0,2,0
5/2/2011,15:59:21,0,0,0,2,0
5/2/2011,15:59:22,0,0,0,2,0
5/2/2011,15:59:23,0,0,0,2,0
5/2/2011,15:59:24,0,0,0,2,0
5/2/2011,15:59:25,0,0,0,2,0
5/2/2011,15:59:26,0,0,0,0,0
5/2/2011,15:59:27,0,0,0,0,0
5/2/2011,15:59:28,0,0,0,0,0
5/2/2011,15:59:29,0,0,0,0,0
5/2/2011,15:59:30,0,0,0,0,0
5/2/2011,15:59:31,0,0,0,0,0
5/2/2011,15:59:32,0,0,0,0,0
5/2/2011,15:59:33,0,0,0,0,0
5/2/2011,15:59:34,0,0,0,0,0
5/2/2011,15:59:35,0,0,0,0,0
5/2/2011,15:59:36,0,0,0,0,0
5/2/2011,15:59:37,0,0,0,0,0
5/2/2011,15:59:38,0,0,0,0,0
5/2/2011,15:59:39,0,0,0,0,0
5/2/2011,15:59:40,0,0,0,0,0
5/2/2011,15:59:41,0,0,0,0,0
5/2/2011,15:59:42,0,0,0,0,0
5/2/2011,15:59:43,0,0,0,0,0
5/2/2011,15:59:44,0,0,0,0,0
5/2/2011,15:59:45,0,0,0,0,0
5/2/2011,15:59:46,0,0,0,0,0
5/2/2011,15:59:47,0,0,0,0,0
5/2/2011,15:59:48,0,0,0,0,0
5/2/2011,15:59:49,0,0,0,0,0
5/2/2011,15:59:50,0,0,0,0,0
5/2/2011,15:59:51,0,0,0,0,0
5/2/2011,15:59:52,0,0,0,0,0
5/2/2011,15:59:53,0,0,0,0,0
5/2/2011,15:59:54,0,0,0,0,0
5/2/2011,15:59:55,0,0,0,0,0
5/2/2011,15:59:56,0,0,0,0,0
5/2/2011,15:59:57,0,0,0,0,0
5/2/2011,15:59:58,0,0,0,2,0
5/2/2011,15:59:59,0,0,0,2,0
5/2/2011,16:00:00,0,0,0,2,0
5/2/2011,16:00:01,0,0,0,2,0
5/2/2011,16:00:02,0,0,0,2,0
5/2/2011,16:00:03,0,0,0,2,0
5/2/2011,16:00:04,0,0,0,2,0
5/2/2011,16:00:05,0,0,0,2,0
5/2/2011,16:00:06,0,0,0,2,0
5/2/2011,16:00:07,0,0,0,2,0
5/2/2011,16:00:08,0,0,0,2,0
5/2/2011,16:00:09,0,0,0,2,0
5/2/2011,16:00:10,0,0,0,2,0
5/2/2011,16:00:11,0,0,0,2,0
5/2/2011,16:00:12,0,0,0,2,0
5/2/2011,16:00:13,0,0,0,2,0
5/2/2011,16:00:14,0,0,0,2,0
5/2/2011,16:00:15,0,0,0,2,0
5/2/2011,16:00:16,0,0,0,2,0
5/2/2011,16:00:17,0,0,0,2,0
5/2/2011,16:00:18,0,0,0,2,0
5/2/2011,16:00:19,0,0,0,2,0
5/2/2011,16:00:20,0,0,0,2,0
5/2/2011,16:00:21,0,0,0,2,0
5/2/2011,16:00:22,0,0,0,2,0
5/2/2011,16:00:23,0,0,0,2,0
5/2/2011,16:00:24,0,0,0,2,0
5/2/2011,16:00:25,0,0,0,2,0
5/2/2011,16:00:26,0,0,0,2,0
5/2/2011,16:00:27,0,0,0,2,0
5/2/2011,16:00:28,0,0,0,2,0
5/2/2011,16:00:29,0,0,0,2,0
5/2/2011,16:00:30,0,0,0,2,0
5/2/2011,16:00:31,0,0,0,2,0
5/2/2011,16:00:32,0,0,0,2,0
5/2/2011,16:00:33,0,0,0,2,0
5/2/2011,16:00:34,0,0,0,2,0
5/2/2011,16:00:35,0,0,0,2,0
5/2/2011,16:00:36,0,0,0,2,0
5/2/2011,16:00:37,0,0,0,2,0
5/2/2011,16:00:38,0,0,0,2,0
5/2/2011,16:00:39,0,0,0,2,0
5/2/2011,16:00:40,0,0,0,2,0
5/2/2011,16:00:41,0,0,0,2,0
5/2/2011,16:00:42,0,0,0,2,0
5/2/2011,16:00:43,0,0,0,2,0
5/2/2011,16:00:44,0,0,0,2,0
5/2/2011,16:00:45,0,0,0,2,0
5/2/2011,16:00:46,0,0,0,2,0
5/2/2011,16:00:47,0,0,0,2,0
5/2/2011,16:00:48,0,0,0,2,0
5/2/2011,16:00:49,0,0,0,2,0
5/2/2011,16:00:50,0,0,0,2,0
5/2/2011,16:00:51,0,0,0,2,0
5/2/2011,16:00:52,0,0,0,2,0
5/2/2011,16:00:53,0,0,0,2,0
5/2/2011,16:00:54,0,0,0,2,0
5/2/2011,16:00:55,0,0,0,2,0
5/2/2011,16:00:56,0,0,0,2,0
5/2/2011,16:00:57,0,0,0,2,0
5/2/2011,16:00:58,0,0,0,2,0
5/2/2011,16:00:59,0,0,0,2,0
5/2/2011,16:01:00,0,0,0,2,0
5/2/2011,16:01:01,0,0,0,2,0
5/2/2011,16:01:02,0,0,0,2,0
5/2/2011,16:01:03,0,0,0,2,0
5/2/2011,16:01:04,0,0,0,2,0
5/2/2011,16:01:05,0,0,0,2,0
5/2/2011,16:01:06,0,0,0,2,0
5/2/2011,16:01:07,0,0,0,2,0
5/2/2011,16:01:08,0,0,0,2,0
5/2/2011,16:01:09,0,0,0,2,0
5/2/2011,16:01:10,0,0,0,2,0
5/2/2011,16:01:11,0,0,0,2,0
5/2/2011,16:01:12,0,0,0,2,0
5/2/2011,16:01:13,0,0,0,2,0
5/2/2011,16:01:14,0,0,0,2,0
5/2/2011,16:01:15,0,0,0,2,0
5/2/2011,16:01:16,0,0,0,2,0
5/2/2011,16:01:17,0,0,0,2,0
5/2/2011,16:01:18,0,0,0,2,0
5/2/2011,16:01:19,0,0,0,2,0
5/2/2011,16:01:20,0,0,0,2,0
5/2/2011,16:01:21,0,0,0,2,0
5/2/2011,16:01:22,0,0,0,2,0
5/2/2011,16:01:23,0,0,0,2,0
5/2/2011,16:01:24,0,0,0,2,0
5/2/2011,16:01:25,0,0,0,2,0
5/2/2011,16:01:26,0,0,0,2,0
5/2/2011,16:01:27,0,0,0,2,0
5/2/2011,16:01:28,0,0,0,2,0
5/2/2011,16:01:29,0,0,0,2,0
5/2/2011,16:01:30,0,0,0,2,0
5/2/2011,16:01:31,0,0,0,2,0
5/2/2011,16:01:32,0,0,0,2,0
5/2/2011,16:01:33,0,0,0,2,0
5/2/2011,16:01:34,0,0,0,2,0
5/2/2011,16:01:35,0,0,0,2,0
5/2/2011,16:01:36,0,0,0,2,0
5/2/2011,16:01:37,0,0,0,2,0
5/2/2011,16:01:38,0,0,0,2,0
5/2/2011,16:01:39,0,0,0,2,0
5/2/2011,16:01:40,0,0,0,2,0
5/2/2011,16:01:41,0,0,0,2,0
5/2/2011,16:01:42,0,0,0,2,0
5/2/2011,16:01:43,0,0,0,2,0
5/2/2011,16:01:44,0,0,0,2,0
5/2/2011,16:01:45,0,0,0,2,0
5/2/2011,16:01:46,0,0,0,2,0
5/2/2011,16:01:47,0,0,0,2,0
5/2/2011,16:01:48,0,0,0,2,0
5/2/2011,16:01:49,0,0,0,2,0
5/2/2011,16:01:50,0,0,0,2,0
5/2/2011,16:01:51,0,0,0,2,0
5/2/2011,16:01:52,0,0,0,2,0
5/2/2011,16:01:53,0,0,0,2,0
5/2/2011,16:01:54,0,0,0,2,0
5/2/2011,16:01:55,0,0,0,2,0
5/2/2011,16:01:56,0,0,0,2,0
5/2/2011,16:01:57,0,0,0,2,0
5/2/2011,16:01:58,0,0,0,2,0
5/2/2011,16:01:59,0,0,0,2,0
5/2/2011,16:02:00,0,0,0,2,0
5/2/2011,16:02:01,0,0,0,2,0
5/2/2011,16:02:02,0,0,0,2,0
5/2/2011,16:02:03,0,0,0,2,0
5/2/2011,16:02:04,0,0,0,2,0
5/2/2011,16:02:05,0,0,0,2,0
5/2/2011,16:02:06,0,0,0,2,0
5/2/2011,16:02:07,0,0,0,2,0
5/2/2011,16:02:08,0,0,0,2,0
5/2/2011,16:02:09,0,0,0,2,0
5/2/2011,16:02:10,0,0,0,2,0
5/2/2011,16:02:11,0,0,0,2,0
5/2/2011,16:02:12,0,0,0,2,0
5/2/2011,16:02:13,0,0,0,2,0
5/2/2011,16:02:14,0,0,0,2,0
5/2/2011,16:02:15,0,0,0,2,0
5/2/2011,16:02:16,0,0,0,2,0
5/2/2011,16:02:17,0,0,0,2,0
5/2/2011,16:02:18,0,0,0,2,0
5/2/2011,16:02:19,0,0,0,2,0
5/2/2011,16:02:20,0,0,0,2,0
5/2/2011,16:02:21,0,0,0,2,0
5/2/2011,16:02:22,0,0,0,2,0
5/2/2011,16:02:23,0,0,0,2,0
5/2/2011,16:02:24,0,0,0,2,0
5/2/2011,16:02:25,0,0,0,2,0
5/2/2011,16:02:26,0,0,0,2,0
5/2/2011,16:02:27,0,0,0,2,0
5/2/2011,16:02:28,0,0,0,2,0
5/2/2011,16:02:29,0,0,0,2,0
5/2/2011,16:02:30,0,0,0,2,0
5/2/2011,16:02:31,0,0,0,2,0
5/2/2011,16:02:32,0,0,0,2,0
5/2/2011,16:02:33,0,0,0,2,0
5/2/2011,16:02:34,0,0,0,2,0
5/2/2011,16:02:35,0,0,0,2,0
5/2/2011,16:02:36,0,0,0,2,0
5/2/2011,16:02:37,0,0,0,2,0
5/2/2011,16:02:38,0,0,0,2,0
5/2/2011,16:02:39,0,0,0,2,0
5/2/2011,16:02:40,0,0,0,2,0
5/2/2011,16:02:41,0,0,0,2,0
5/2/2011,16:02:42,0,0,0,2,0
5/2/2011,16:02:43,0,0,0,2,0
5/2/2011,16:02:44,0,0,0,2,0
5/2/2011,16:02:45,0,0,0,2,0
5/2/2011,16:02:46,0,0,0,2,0
5/2/2011,16:02:47,0,0,0,2,0
5/2/2011,16:02:48,0,0,0,2,0
5/2/2011,16:02:49,0,0,0,2,0
5/2/2011,16:02:50,0,0,0,2,0
5/2/2011,16:02:51,0,0,0,2,0
5/2/2011,16:02:52,0,0,0,2,0
5/2/2011,16:02:53,0,0,0,2,0
5/2/2011,16:02:54,0,0,0,2,0
5/2/2011,16:02:55,0,0,0,2,0
5/2/2011,16:02:56,0,0,0,2,0
5/2/2011,16:02:57,0,0,0,2,0
5/2/2011,16:02:58,0,0,0,2,0
5/2/2011,16:02:59,0,0,0,0,0
5/2/2011,16:03:00,0,0,0,0,0
5/2/2011,16:03:01,0,0,0,0,0
5/2/2011,16:03:02,0,0,0,0,0
5/2/2011,16:03:03,0,0,0,0,0
5/2/2011,16:03:04,0,0,0,0,0
5/2/2011,16:03:05,0,0,0,0,0
5/2/2011,16:03:06,0,0,0,0,0
5/2/2011,16:03:07,0,0,0,0,0
5/2/2011,16:03:08,0,0,0,0,0
5/2/2011,16:03:09,0,0,0,0,0
5/2/2011,16:03:10,0,0,0,0,0
5/2/2011,16:03:11,0,0,0,0,0
5/2/2011,16:03:12,0,0,0,0,0
5/2/2011,16:03:13,0,0,0,0,0
5/2/2011,16:03:14,0,0,0,0,0
5/2/2011,16:03:15,0,0,0,0,0
5/2/2011,16:03:16,0,0,0,0,0
5/2/2011,16:03:17,0,0,0,0,0
5/2/2011,16:03:18,0,0,0,0,0
5/2/2011,16:03:19,0,0,0,0,0
5/2/2011,16:03:20,0,0,0,0,0
5/2/2011,16:03:21,0,0,0,0,0
5/2/2011,16:03:22,0,0,0,0,0
5/2/2011,16:03:23,0,0,0,0,0
5/2/2011,16:03:24,0,0,0,0,0
5/2/2011,16:03:25,0,0,0,0,0
5/2/2011,16:03:26,0,0,0,0,0
5/2/2011,16:03:27,0,0,0,0,0
5/2/2011,16:03:28,0,0,0,0,0
5/2/2011,16:03:29,0,0,0,0,0
5/2/2011,16:03:30,0,0,0,0,0
5/2/2011,16:03:31,0,0,0,0,0
5/2/2011,16:03:32,0,0,0,0,0
5/2/2011,16:03:33,0,0,0,0,0
5/2/2011,16:03:34,0,0,0,0,0
5/2/2011,16:03:35,0,0,0,0,0
5/2/2011,16:03:36,0,0,0,0,0
5/2/2011,16:03:37,0,0,0,0,0
5/2/2011,16:03:38,0,0,0,0,0
5/2/2011,16:03:39,0,0,0,0,0
5/2/2011,16:03:40,0,0,0,0,0
5/2/2011,16:03:41,0,0,0,0,0
5/2/2011,16:03:42,0,0,0,0,0
5/2/2011,16:03:43,0,0,0,0,0
5/2/2011,16:03:44,0,0,0,0,0
5/2/2011,16:03:45,0,0,0,0,0
5/2/2011,16:03:46,0,0,0,0,0
5/2/2011,16:03:47,0,0,0,0,0
5/2/2011,16:03:48,0,0,0,0,0
5/2/2011,16:03:49,0,0,0,0,0
5/2/2011,16:03:50,0,0,0,0,0
5/2/2011,16:03:51,0,0,0,0,0
5/2/2011,16:03:52,0,0,0,0,0
5/2/2011,16:03:53,0,0,0,0,0
5/2/2011,16:03:54,0,0,0,0,0
5/2/2011,16:03:55,0,0,0,0,0
5/2/2011,16:03:56,0,0,0,0,0
5/2/2011,16:03:57,0,0,0,0,0
5/2/2011,16:03:58,0,0,0,0,0
5/2/2011,16:03:59,0,0,0,0,0
5/2/2011,16:04:00,0,0,0,0,0
5/2/2011,16:04:01,0,0,0,0,0
5/2/2011,16:04:02,0,0,0,0,0
5/2/2011,16:04:03,0,0,0,0,0
5/2/2011,16:04:04,0,0,0,0,0
5/2/2011,16:04:05,0,0,0,0,0
5/2/2011,16:04:06,0,0,0,0,0
5/2/2011,16:04:07,0,0,0,0,0
5/2/2011,16:04:08,0,0,0,0,0
5/2/2011,16:04:09,0,0,0,0,0
5/2/2011,16:04:10,0,0,0,0,0
5/2/2011,16:04:11,0,0,0,0,0
5/2/2011,16:04:12,0,0,0,0,0
5/2/2011,16:04:13,0,0,0,0,0
5/2/2011,16:04:14,0,0,0,0,0
5/2/2011,16:04:15,0,0,0,0,0
5/2/2011,16:04:16,0,0,0,0,0
5/2/2011,16:04:17,0,0,0,0,0
5/2/2011,16:04:18,0,0,0,0,0
5/2/2011,16:04:19,0,0,0,0,0
5/2/2011,16:04:20,0,0,0,0,0
5/2/2011,16:04:21,0,0,0,0,0
5/2/2011,16:04:22,0,0,0,0,0
5/2/2011,16:04:23,0,0,0,0,0
5/2/2011,16:04:24,0,0,0,0,0
5/2/2011,16:04:25,0,0,0,0,0
5/2/2011,16:04:26,0,0,0,0,0
5/2/2011,16:04:27,0,0,0,0,0
5/2/2011,16:04:28,0,0,0,0,0
5/2/2011,16:04:29,0,0,0,0,0
5/2/2011,16:04:30,0,0,0,0,0
5/2/2011,16:04:31,0,0,0,0,0
5/2/2011,16:04:32,0,0,0,0,0
5/2/2011,16:04:33,0,0,0,0,0
5/2/2011,16:04:34,0,0,0,0,0
5/2/2011,16:04:35,0,0,0,0,0
5/2/2011,16:04:36,0,0,0,0,0
5/2/2011,16:04:37,0,0,0,0,0
5/2/2011,16:04:38,0,0,0,0,0
5/2/2011,16:04:39,0,0,0,0,0
5/2/2011,16:04:40,0,0,0,0,0
5/2/2011,16:04:41,0,0,0,0,0
5/2/2011,16:04:42,0,0,0,0,0
5/2/2011,16:04:43,0,0,0,0,0
5/2/2011,16:04:44,0,0,0,0,0
5/2/2011,16:04:45,0,0,0,0,0
5/2/2011,16:04:46,0,0,0,0,0
5/2/2011,16:04:47,0,0,0,0,0
5/2/2011,16:04:48,0,0,0,0,0
5/2/2011,16:04:49,0,0,0,0,0
5/2/2011,16:04:50,0,0,0,0,0
5/2/2011,16:04:51,0,0,0,0,0
5/2/2011,16:04:52,0,0,0,0,0
5/2/2011,16:04:53,0,0,0,0,0
5/2/2011,16:04:54,0,0,0,0,0
5/2/2011,16:04:55,0,0,0,0,0
5/2/2011,16:04:56,0,0,0,0,0
5/2/2011,16:04:57,0,0,0,0,0
5/2/2011,16:04:58,0,0,0,0,0
5/2/2011,16:04:59,0,0,0,0,0
5/2/2011,16:05:00,0,0,0,0,0
5/2/2011,16:05:01,0,0,0,0,0
5/2/2011,16:05:02,0,0,0,0,0
5/2/2011,16:05:03,0,0,0,0,0
5/2/2011,16:05:04,0,0,0,0,0
5/2/2011,16:05:05,0,0,0,0,0
